id,農業,森林,交通,水利,商業,純住宅,混合住宅,製造業,倉儲,宗教,殯葬,其他建築用地,學校,醫療,其他公共利用土地,遊憩,礦業,其他
271,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,6805,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,199
284,6218,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,138
285,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,6967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
287,480,0,43,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,5516
288,93,0,6293,373,0,0,0,0,0,0,0,0,0,0,0,0,0,297
289,5639,0,994,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1133,281,1398,1163,0,0,0,0,0,0,0,0,0,0,113,2968,0,0
291,300,0,75,279,0,0,0,0,0,0,0,0,0,0,0,5834,0,568
292,2483,0,224,2300,0,0,0,0,0,0,0,0,0,0,0,25,0,2024
293,4173,0,364,754,0,0,0,0,0,0,0,0,0,0,0,0,0,1765
294,4687,0,23,752,0,90,0,0,0,20,0,0,0,0,0,0,0,1484
295,6448,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,602
296,5178,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,1324
297,5774,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1199
298,4656,0,545,379,0,0,0,0,0,0,0,0,0,0,0,0,0,1476
299,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896
300,4672,0,46,402,0,0,0,0,0,0,0,0,0,0,0,0,0,1936
301,4941,0,60,247,0,0,0,0,0,0,0,0,0,0,0,0,0,1808
302,5307,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1666
303,5849,0,73,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1098
304,3693,0,91,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,1381
305,796,0,139,4804,0,0,0,0,0,22,0,0,0,0,0,0,0,1295
306,2997,0,134,0,0,149,0,0,0,0,0,0,0,0,0,0,0,3776
307,2319,1,193,1279,0,564,0,0,0,0,0,0,0,0,0,0,0,2700
308,5095,62,0,345,0,0,0,0,0,0,32,0,0,0,0,0,0,1522
309,4685,0,279,0,0,315,0,0,0,0,0,0,0,0,0,0,0,1777
310,43,0,6511,36,0,0,0,0,0,0,0,0,0,0,27,0,0,439
311,1437,0,4600,637,0,160,0,0,0,0,0,0,0,0,0,0,0,222
312,269,0,4999,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1673
313,211,404,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048
314,0,2899,2,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,2436
315,0,488,0,6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
