匯入時間,統計時間,縣市,停車場名稱,停車場地址,汽車停車位數,機車停車位數,lat,lng
20211201,202110,台南,育平七街60巷公有停車場(停8),臺南市安平區育平七街60巷(慶平路安億停車場後方),48,0,22.997178,120.16539
20211201,202110,台南,民權路四段尾臨時免費公有停車場,臺南市安平區民權路4段尾(抽水站旁),96,0,23.002501,120.16587
20211201,202110,台南,郡平路口臨時路外公有停車場,臺南市安平區郡平路(郡平路388號對面),55,32,22.989351,120.16141
20211201,202110,台南,樹屋停車場,臺南市安平區安平區王城路、古堡街146巷口,110,0,23.003599,120.157329
20211201,202110,台南,鹽神白沙灘停車場,臺南市安平區安平區安北路370巷口東側,50,0,23.000893,120.153909
20211201,202110,台南,崇義停車場,臺南市安平區安平區安北路、同平路口北側,350,0,22.999595,120.152164
20211201,202110,台南,漁市場/碧海碼頭停車場,臺南市安平區安平區大平路、世平路口南側,200,0,22.993128,120.151379
20211201,202110,台南,安南區自辦重劃，廣停4,臺南市安南區安西路與安西一街口,11,0,23.031705,120.20929
20211201,202110,台南,安南區自辦重劃，廣停7,臺南市安南區安中二街(頂好公園旁),16,0,23.037295,120.203882
20211201,202110,台南,安南區自辦重劃，廣停8,臺南市安南區北安二街與安中ㄧ街(慈雲公園旁),19,0,23.035798,120.206225
20211201,202110,台南,安南區自辦重劃，廣停3,臺南市安南區安通三街與安西一街,84,0,23.030842,120.205515
20211201,202110,台南,安南區自辦重劃，廣停10,臺南市安南區安通路4段47巷內(樂成公園旁),72,0,23.030752,120.21065
20211201,202110,台南,安平小砲台停車場(西側),臺南市安平區湖內一街西側,0,0,22.99842,120.157997
20211201,202110,台南,安平小砲台停車場(東側),臺南市安平區湖內一街東側,61,0,22.998701,120.158425
20211201,202110,台南,高鐵台南車站停一停車場,臺南市歸仁區高發一路與高發二路中間段北邊(歸仁七路旁),76,129,22.927162,120.2884
20211201,202110,台南,永新社區停車場,臺南市新化區勞工住宅後方(永華一街與金華街一段口),48,0,23.058981,120.296095
20211201,202110,台南,文南街與文善路,臺南市仁德區文南街與文善路,228,0,22.971227,120.241296
20211201,202110,台南,文南街與文忠路,臺南市仁德區文南街與文忠路,133,0,22.972725,120.238332
20211201,202110,台南,保學路停車場,臺南市仁德區保學路與保學一街55巷口,19,15,22.919652,120.23509
20211201,202110,台南,城光自辦市地重劃停車場,臺南市仁德區文宏路與文宏一街口,20,0,22.976108,120.243115
20211201,202110,台南,林仔鐘厝自辦重劃停車場,臺南市仁德區義林一街與義林五街、六街口,27,0,22.969127,120.26155
20211201,202110,台南,87期安中二自辦重劃，廣停6,臺南市安南區北安路二段433巷(梅花里活動中心旁),55,0,23.039387,120.199503
20211201,202110,台南,安富街，廣停6,臺南市安南區安富街(海佃國中前),28,0,23.027292,120.199082
